GO_ID	pValues	interestCount	backgroundCount
GO:0016747	0.9884838248121978	2	91
GO:0016746	1.0	0	52
GO:0060972	0.19286060605380606	1	3
GO:0003002	1.0	0	3
GO:0007389	0.003865038065016138	6	23
GO:0004842	1.801445885219391e-12	51	250
GO:0016853	1.0	0	10
GO:0140640	0.43528378435773646	1	8
GO:0046625	0.3003092864980996	1	5
GO:0008289	0.9924045826656245	4	147
GO:0032571	0.19286060605380606	1	3
GO:0007584	1.0	0	55
GO:0031670	1.0	0	9
GO:0050768	0.8200390438214065	1	24
GO:0050767	0.29638122349016605	4	40
GO:0043488	0.26495002329994455	4	38
GO:0043487	0.24850146150336413	1	4
GO:0010608	0.03923596511138531	6	37
GO:0018230	0.2507071807887816	2	14
GO:0018345	0.43528378435773646	1	8
GO:0006497	1.0	0	4
GO:0046825	0.3934631811564106	1	7
GO:0033157	1.0	0	7
GO:0051223	1.0	0	5
GO:0070201	1.0	0	5
GO:0032880	0.36458409211598863	6	71
GO:0046822	0.3003092864980996	1	5
GO:0005796	0.0071581410051199034	15	108
GO:0042803	0.9989367456185482	31	723
GO:0042802	0.9945925865890972	99	1798
GO:0046983	0.9994749564594148	4	195
GO:0060349	0.6321806093576154	1	14
GO:0009887	0.22137488979631978	8	84
GO:0009653	0.13668830464621043	14	147
GO:0098641	0.35505509587685286	2	18
GO:0045296	0.9993497562957732	9	308
GO:0050839	0.7127223476111698	8	134
GO:0098632	0.5269423022282329	3	40
GO:0098631	1.0	0	17
GO:0035519	0.2507071807887816	2	14
GO:0000209	0.00028611763629481085	22	142
GO:0048536	0.5756674533753028	1	12
GO:0001542	0.19286060605380606	1	3
GO:0030728	1.0	0	3
GO:0003887	0.9180614862259393	1	35
GO:0034061	0.864808266812163	1	28
GO:0016779	1.0	0	25
GO:0030856	0.24850146150336413	1	4
GO:0046457	0.47422283438659296	1	9
GO:0006636	1.0	0	15
GO:0033559	1.0	0	3
GO:0006631	0.9988048815626434	1	94
GO:0032787	1.0	0	23
GO:0006633	1.0	0	54
GO:0008610	1.0	0	32
GO:0046394	1.0	0	4
GO:0006690	1.0	0	12
GO:0046456	1.0	0	9
GO:0045216	1.0	0	20
GO:0002934	1.0	0	4
GO:0045445	0.007104968077073447	4	12
GO:0048246	0.604932507316985	1	13
GO:0030595	1.0	0	16
GO:0060326	0.7516528967926247	5	90
GO:0006935	0.9938409755807381	2	101
GO:0040011	1.0	0	4
GO:0016477	0.2283640710809195	21	255
GO:0048870	0.20439681676324	4	34
GO:0050900	0.6035302344335435	2	29
GO:0032777	0.025938039705131852	2	4
GO:0030296	0.7031651933270016	1	17
GO:0030295	1.0	0	42
GO:0019209	0.09338773253926848	3	16
GO:1902036	0.1479196627494554	2	10
GO:2000736	0.7031651933270016	1	17
GO:2000050	0.19286060605380606	1	3
GO:0030111	1.0	0	16
GO:0006606	0.9973687458630753	1	83
GO:0006886	0.9962905902670833	9	270
GO:0046907	0.10071895874712865	2	8
GO:0015031	1.0	0	93
GO:0045184	0.28059727502192	4	39
GO:0051170	1.0	0	4
GO:0006913	1.0	0	47
GO:0051169	1.0	0	4
GO:0034504	0.21916118597741044	4	35
GO:0072594	1.0	0	9
GO:0070828	0.17290349611200884	2	11
GO:0006325	0.06880508867056918	17	167
GO:0003197	0.009264368608062802	3	7
GO:0098890	0.3934631811564106	1	7
GO:0019897	1.0	0	9
GO:0019898	0.15570374350738317	3	20
GO:0097165	0.43528378435773646	1	8
GO:0005874	0.9999860987190291	2	194
GO:0099513	0.34854795329137683	1	6
GO:0099512	1.0	0	6
GO:0071907	0.34854795329137683	1	6
GO:0007368	0.013936062934571012	7	38
GO:0046636	0.34854795329137683	1	6
GO:0050868	0.5641278200212558	2	27
GO:0002683	0.3003092864980996	1	5
GO:0051249	1.0	0	3
GO:0050863	1.0	0	10
GO:1903038	1.0	0	6
GO:0022408	1.0	0	13
GO:0007162	0.0061765570889694334	8	41
GO:0022407	0.09338773253926848	3	16
GO:1903037	0.34854795329137683	1	6
GO:0042129	0.6575506730915142	1	15
GO:0042130	0.399798326113694	3	33
GO:0050672	1.0	0	3
GO:0070664	1.0	0	3
GO:0008285	0.06990763507238512	31	341
GO:0005216	0.9999982849488525	1	185
GO:0015267	0.9466630223005693	1	41
GO:0003009	0.6401740179487392	2	31
GO:0006941	1.0	0	64
GO:0006936	0.995953917828863	1	77
GO:0003008	1.0	0	50
GO:2000171	0.3934631811564106	1	7
GO:0010977	0.15022486346587616	7	64
GO:0031344	1.0	0	6
GO:0010975	0.43741567743876697	3	35
GO:0120035	0.34854795329137683	1	6
GO:0050773	0.27699971708303567	2	15
GO:0002098	0.07980569487613094	3	15
GO:0006400	0.6740949721469711	2	33
GO:0008033	0.6574709329934392	2	32
GO:0006399	1.0	0	6
GO:0009451	1.0	0	16
GO:0051050	0.47422283438659296	1	9
GO:0051580	1.0	0	4
GO:0140006	0.24850146150336413	1	4
GO:0140566	0.05882572100185321	5	31
GO:0140463	0.06593345476885513	5	32
